search_id,user_id,search_query,search_date,clicked_result_position,location_country
000001,09864,classic movies,2024-03-22,2,Canada
000002,08038,stand up comedy,2025-11-22,4,USA
000003,02009,music documentaries,2024-10-09,1,USA
000004,01083,comedy shows,2024-12-14,4,USA
000005,04269,movies based on true stories,2025-01-10,,USA
000006,03478,thriller series,2024-09-18,4,USA
000007,03800,travel documentaries,2025-10-03,,USA
000008,00191,superhero movies,2024-05-24,1,USA
000009,03999,biographies,2025-07-18,,USA
000010,06785,movies based on true stories,2025-04-09,,Canada
000011,04781,biographies,2024-06-17,4,USA
000012,06311,action movies,2024-09-06,4,USA
000013,03850,new releases,2025-03-22,,USA
000014,00610,halloween movies,2024-12-31,,USA
000015,07791,war movies,2024-06-04,,USA
000016,06185,stand up comedy,2024-11-07,4,Canada
000017,01060,romantic comedies,2024-02-27,5,USA
000018,04897,documentaries,2025-02-24,,USA
000019,04549,family movies,2025-02-15,,USA
000020,03172,superhero movies,2024-11-05,,USA
000021,06470,cooking shows,2025-03-12,2,USA
000022,00479,biographies,2025-04-14,7,USA
000023,09719,documentaries,2024-05-21,3,USA
000024,01317,new releases,2025-12-04,2,USA
000025,03286,superhero movies,2024-03-09,3,Canada
000026,08165,superhero movies,2025-07-25,10,USA
000027,01208,christmas movies,2024-10-05,8,USA
000028,05349,netflix originals,2024-06-13,,Canada
000029,09492,shows with strong female leads,2024-04-09,,USA
000030,08098,animated shows,2025-01-17,1,USA
000031,01890,action movies,2025-02-27,,USA
000032,00199,new releases,2024-11-16,,USA
000033,02501,biographies,2025-08-17,7,Canada
000034,09443,cooking shows,2024-07-13,,USA
000035,00769,new releases,2025-07-24,,Canada
000036,04884,comedy shows,2025-08-28,9,Canada
000037,09777,classic movies,2025-12-29,,Canada
000038,06921,movies based on true stories,2024-03-05,,USA
000039,08354,halloween movies,2024-04-15,,USA
000040,01502,travel documentaries,2025-02-07,7,USA
000041,00440,thriller series,2025-05-06,2,USA
000042,08198,horror movies,2024-05-27,10,USA
000043,02701,best movies 2024,2024-09-09,9,Canada
000044,09465,music documentaries,2024-08-11,,USA
000045,05142,netflix originals,2025-12-30,8,USA
000046,03457,thriller series,2024-11-09,,USA
000047,08629,true crime,2024-10-05,8,USA
000048,02147,comedy shows,2024-02-06,9,USA
000049,02139,netflix originals,2025-02-06,1,USA
000050,07633,movies based on true stories,2024-08-27,10,Canada
000051,01306,animated shows,2025-05-11,1,USA
000052,03213,sci-fi,2025-02-12,3,Canada
000053,04648,christmas movies,2024-05-05,2,USA
000054,05962,horror movies,2025-06-09,1,USA
000055,07344,drama series,2024-04-27,,USA
