session_id,user_id,movie_id,watch_date,watch_duration_minutes,progress_percentage,location_country,rating
000001,07271,0511,2025-11-13,63.9,34.6,USA,
000002,00861,0588,2025-02-26,120.1,44.2,USA,
000003,05391,0694,2024-12-15,572.1,84.7,Canada,1
000004,05192,0234,2024-09-30,395.3,89.9,USA,5
000005,05735,0390,2024-08-04,14.6,6.2,USA,
000006,06266,0631,2024-03-13,43.4,63.7,Canada,
000007,00467,0483,2025-04-23,165.9,63.1,Canada,
000008,04427,0139,2025-09-13,100.4,57.4,USA,
000009,05579,0769,2025-08-26,29.0,9.8,USA,
000010,08323,0577,2025-07-23,32.5,74.1,USA,
000011,01686,0903,2025-05-17,,62.1,USA,
000012,00770,0427,2025-08-09,34.7,69.7,USA,
000013,06950,0764,2024-07-06,3.7,,Canada,
000014,02434,0810,2024-10-27,30.7,71.6,USA,
000015,05312,0861,2025-10-17,59.9,30.7,USA,5
000016,05052,0418,2024-12-09,31.0,65.2,USA,
000017,06421,0135,2025-11-02,39.3,37.9,Canada,
000018,01185,0671,2025-12-05,,92.0,Canada,3
000019,04556,0124,2024-11-08,32.7,72.3,USA,
000020,03386,0312,2025-11-05,53.0,5.5,USA,
000021,06397,0129,2025-02-04,33.9,25.9,Canada,
000022,08667,0357,2025-02-09,378.0,25.5,USA,
000023,09275,0154,2024-04-14,118.0,49.6,Canada,
000024,02559,0285,2024-11-16,74.6,9.3,USA,
000025,07850,0675,2024-10-30,54.7,54.3,USA,
000026,02048,0037,2025-11-09,30.1,37.7,Canada,
000027,02748,0778,2025-01-22,57.9,6.1,USA,5
000028,09168,0709,2025-01-19,65.2,42.6,USA,
000029,09999,0990,2024-11-22,33.1,72.2,USA,
000030,00190,0114,2024-07-08,,12.8,USA,
000031,02735,0494,2024-04-03,71.1,42.6,USA,3
000032,03006,0004,2024-11-01,70.6,77.4,USA,
000033,04659,0711,2025-03-30,34.4,64.3,USA,3
000034,01900,0758,2025-06-15,38.9,78.2,Canada,
000035,07735,0639,2024-09-28,34.7,85.7,USA,
000036,01268,0627,2024-11-04,38.3,41.7,USA,
000037,01529,0445,2024-07-04,75.5,60.9,Canada,1
000038,03557,0468,2024-07-11,44.2,6.9,USA,
000039,03891,0860,2024-04-23,97.6,22.6,Canada,
000040,08839,0647,2025-03-21,13.3,46.5,USA,5
000041,05394,0971,2024-05-24,38.8,95.3,USA,2
000042,08793,0177,2025-07-01,83.9,85.8,Canada,
000043,08434,0701,2025-07-14,19.0,89.9,Canada,
000044,07514,0142,2025-07-31,31.2,73.5,USA,
000045,02613,0712,2024-07-05,95.2,46.0,USA,
000046,07042,0664,2025-01-05,32.1,34.4,USA,
000047,09556,0563,2025-11-11,28.8,4.7,USA,
000048,06236,0502,2025-11-29,167.5,64.5,USA,3
000049,05487,0031,2024-12-02,67.6,90.2,Canada,
000050,07100,0763,2025-06-16,142.5,60.9,Canada,1
000051,09671,0130,2024-11-19,107.1,48.7,USA,
000052,00776,0968,2024-04-26,158.6,,USA,
000053,08227,0091,2024-11-10,50.8,45.3,USA,4
000054,03153,0171,2025-05-05,,73.3,Canada,2
000055,01586,0253,2025-10-27,25.0,34.5,USA,3
000056,03944,0088,2025-07-25,74.8,50.2,Canada,4
000057,07556,0691,2025-05-07,94.3,34.7,USA,5
000058,03074,0454,2024-07-07,,49.6,Canada,4
000059,01022,0779,2025-06-21,10.3,20.5,USA,
000060,03844,0689,2025-05-12,34.8,13.9,Canada,
000061,07990,0528,2024-02-10,114.0,91.0,USA,
000062,09693,0116,2025-02-14,25.3,76.4,USA,
000063,06874,0733,2025-04-05,45.7,77.1,USA,
000064,05676,0169,2025-07-13,113.8,43.2,USA,2
000065,00162,0926,2025-03-10,,61.2,USA,3
000066,04298,0429,2025-11-27,,77.3,USA,
000067,00996,0711,2025-07-02,,,USA,
000068,07630,0528,2024-08-04,60.3,61.4,Canada,
000069,09468,0228,2025-10-11,18.4,69.9,USA,
000070,01017,0415,2025-11-02,62.3,1.2,USA,
000071,07870,0011,2025-02-02,,81.9,Canada,
000072,06440,0211,2024-12-30,15.2,73.7,USA,
000073,07893,0334,2025-06-24,8.7,88.0,Canada,
000074,06864,0762,2025-03-22,31.4,49.7,USA,
000075,07917,0463,2025-04-18,172.3,2.6,USA,
000076,08530,0520,2025-09-02,82.1,76.9,Canada,
000077,00879,0780,2025-08-16,146.2,17.4,USA,
000078,09269,0856,2025-06-21,107.6,18.2,Canada,
000079,04888,0061,2024-04-07,89.0,,Canada,
000080,04860,0934,2025-12-06,,32.3,USA,
000081,06332,0695,2025-12-02,45.2,64.0,Canada,
000082,08572,0653,2024-02-18,44.4,35.6,USA,
000083,08685,0466,2024-03-30,12.3,80.1,USA,4
000084,07209,0163,2024-07-10,64.7,55.0,USA,
000085,05277,0733,2024-02-24,108.1,41.9,Canada,4
000086,02063,0318,2024-02-03,20.9,,USA,
000087,00065,0020,2024-09-11,10.6,,USA,
000088,08007,0566,2024-02-25,7.0,67.6,USA,
000089,02569,0866,2025-04-29,17.6,11.4,Canada,
000090,05464,0067,2025-02-09,39.0,20.3,Canada,4
000091,02028,0382,2024-08-17,19.3,78.5,USA,
000092,02696,0703,2024-01-24,18.1,78.6,Canada,
000093,09688,0872,2025-05-05,52.1,52.5,USA,
000094,05259,0995,2024-05-11,32.9,47.6,USA,4
000095,05619,0863,2024-12-18,,41.6,USA,
000096,06737,0632,2024-12-17,73.2,,USA,
000097,00392,0583,2024-05-23,24.4,93.7,USA,
000098,05893,0777,2025-06-21,80.7,36.6,USA,
000099,03562,0630,2025-12-02,88.5,12.9,Canada,
000100,06185,0701,2024-06-08,,33.0,Canada,3
000101,03100,0306,2025-01-30,114.2,41.8,USA,
000102,06279,0187,2024-07-05,,70.4,Canada,
000103,08393,0176,2024-05-26,2.5,64.3,USA,
000104,03105,0529,2025-07-13,,,USA,5
000105,07216,0820,2024-05-25,78.1,21.4,USA,
000106,02455,0199,2025-09-23,,46.2,USA,5
000107,08997,0051,2025-02-21,21.3,65.3,USA,
000108,02732,0581,2024-12-30,8.1,29.6,USA,
000109,08155,0600,2024-07-03,20.8,15.1,USA,
000110,09763,0719,2025-12-02,25.2,56.8,USA,
000111,05057,0450,2025-11-26,49.8,9.5,USA,
000112,08111,0697,2025-08-06,18.3,96.8,USA,
000113,03841,0911,2025-09-04,105.3,13.3,USA,
000114,01029,0085,2024-06-01,48.7,36.7,USA,
000115,07386,0613,2025-11-16,16.1,54.9,Canada,
000116,00503,0334,2024-08-29,35.5,21.4,USA,
000117,06911,0883,2025-12-08,,94.1,USA,5
000118,09063,0642,2024-08-22,72.2,96.3,Canada,5
000119,06939,0217,2024-11-14,37.5,71.3,USA,
000120,04489,0795,2025-01-29,10.5,43.8,USA,
000121,00207,0052,2025-11-19,37.3,77.6,USA,
000122,05135,0629,2024-05-28,,5.6,USA,
000123,05978,0563,2024-11-02,12.7,48.1,Canada,
000124,07722,0678,2024-11-09,22.4,38.1,Canada,
000125,07036,0885,2024-05-21,35.6,96.3,USA,
000126,01485,0019,2024-05-20,137.1,59.3,USA,
000127,07859,0618,2024-10-16,41.5,83.2,USA,
000128,00864,0158,2024-04-06,41.7,96.7,USA,3
000129,02791,0497,2024-10-26,23.5,64.5,USA,
000130,07409,0074,2024-11-23,70.6,79.1,USA,
000131,08756,0991,2024-12-11,49.7,75.4,USA,5
000132,05117,0845,2024-03-09,34.7,38.5,USA,4
000133,06020,0653,2024-01-21,57.9,63.9,USA,
000134,01758,0923,2025-12-20,37.3,83.9,USA,
000135,07575,0430,2024-01-18,195.1,56.8,USA,4
000136,06375,0275,2025-12-08,,96.0,USA,
000137,06893,0147,2025-07-26,58.4,21.0,USA,
000138,01679,0485,2024-08-30,4.4,98.6,USA,3
000139,03243,0425,2024-04-11,47.3,11.9,USA,
000140,04637,0271,2025-04-18,,37.0,USA,
000141,01060,0924,2024-10-15,10.8,39.2,USA,
000142,06669,0620,2025-08-30,188.5,98.8,USA,
000143,09915,0356,2025-04-01,26.6,2.9,Canada,
000144,03158,0796,2024-04-23,,72.0,Canada,
000145,05916,0562,2024-09-23,29.6,53.5,USA,
000146,09790,0801,2024-11-16,38.2,83.1,USA,
000147,02694,0812,2025-10-24,30.6,17.9,USA,
000148,03628,0055,2025-05-28,156.0,42.7,USA,
000149,09556,0121,2024-06-04,15.7,19.2,USA,4
000150,05451,0342,2025-08-24,48.6,48.3,Canada,3
000151,01664,0905,2024-11-14,4.6,73.3,Canada,
000152,09722,0036,2025-01-13,41.2,17.3,USA,
000153,05593,0198,2024-12-14,43.5,28.6,Canada,
000154,07393,0642,2025-09-25,33.2,91.8,USA,
000155,01307,0491,2025-07-17,51.5,,USA,
000156,06777,0171,2025-10-06,86.3,87.5,USA,
000157,05865,0154,2025-12-10,138.6,47.0,USA,
000158,09475,0581,2025-07-04,20.0,21.5,USA,
000159,07527,0279,2025-11-05,99.6,13.4,USA,
000160,08902,0572,2024-11-03,43.7,9.7,Canada,
000161,05576,0902,2025-10-15,175.2,30.5,Canada,
000162,05531,0573,2024-03-22,14.9,85.6,USA,
000163,04414,0321,2025-09-13,,67.4,Canada,3
000164,03749,0355,2024-12-18,30.3,98.2,USA,
000165,00664,0383,2025-03-18,82.4,89.4,USA,3
000166,01999,0041,2025-06-09,71.6,61.1,USA,
000167,07995,0353,2025-02-05,,38.1,Canada,
000168,01496,0794,2024-02-09,98.5,48.2,USA,
000169,03305,0985,2025-05-29,82.4,89.9,USA,5
000170,03764,0781,2024-11-02,17.6,68.6,Canada,
000171,05233,0081,2024-09-26,59.3,50.1,USA,
000172,01854,0400,2025-07-25,143.9,87.4,USA,3
000173,06586,0127,2024-05-31,7.8,1.3,USA,
000174,01292,0300,2025-03-24,,88.0,USA,
000175,03582,0158,2025-01-08,63.0,50.3,USA,5
000176,07555,0130,2024-12-15,,78.3,USA,
000177,07281,0836,2024-09-16,10.8,74.1,USA,
000178,01637,0205,2024-07-20,92.4,50.7,USA,5
000179,03697,0550,2025-01-17,86.3,16.9,USA,
000180,00699,0465,2024-12-15,23.0,98.1,USA,
000181,04738,0151,2024-11-11,62.2,17.1,USA,
000182,00855,0029,2025-08-18,92.9,4.2,Canada,5
000183,08165,0496,2025-02-20,52.5,34.9,USA,
000184,05856,0057,2025-02-09,,,USA,
000185,07393,0825,2025-04-13,73.9,21.2,USA,
000186,06529,0201,2025-03-27,31.9,83.5,USA,
000187,05250,0783,2024-04-21,28.1,18.7,USA,
000188,05173,0834,2025-04-09,112.5,43.2,USA,4
000189,01708,0221,2024-03-05,61.3,29.8,USA,
000190,05792,0354,2024-08-03,63.2,5.0,Canada,
000191,09926,0849,2024-12-02,132.1,28.4,Canada,
000192,05536,0590,2025-10-30,27.5,58.1,USA,4
000193,04932,0719,2024-01-07,55.5,61.0,Canada,
000194,03511,0602,2024-12-07,28.0,32.9,Canada,
