search_id,user_id,search_query,search_date,clicked_result_position,location_country
1,09864,classic movies,2024-03-22,,Canada
2,08038,stand up comedy,2025-11-22,,USA
3,02009,music documentaries,2024-10-09,,USA
4,01083,comedy shows,2024-12-14,,USA
5,04269,movies based on true stories,2025-01-10,,USA
6,1,comedy,2025-11-27,,USA
7,5,comedy,2025-11-27,,USA
8,00191,superhero movies,2024-05-24,,USA
9,03999,biographies,2025-07-18,,USA
10,06785,movies based on true stories,2025-04-09,,Canada
11,04781,biographies,2024-06-17,,USA
12,06311,action movies,2024-09-06,,USA
13,03850,new releases,2025-03-22,,USA
14,00610,halloween movies,2024-12-31,,USA
15,07791,war movies,2024-06-04,,USA
16,06185,stand up comedy,2024-11-07,,Canada
17,01060,romantic comedies,2024-02-27,,USA
18,04897,documentaries,2025-02-24,,USA
19,04549,family movies,2025-02-15,,USA
20,03172,superhero movies,2024-11-05,,USA
21,06470,cooking shows,2025-03-12,,USA
22,00479,biographies,2025-04-14,,USA
23,09719,documentaries,2024-05-21,,USA
24,01317,new releases,2025-12-04,,USA
25,03286,superhero movies,2024-03-09,,Canada
26,08165,superhero movies,2025-07-25,,USA
27,01208,christmas movies,2024-10-05,,USA
28,05349,netflix originals,2024-06-13,,Canada
29,09492,shows with strong female leads,2024-04-09,,USA
30,08098,animated shows,2025-01-17,,USA
31,01890,action movies,2025-02-27,,USA
32,00199,new releases,2024-11-16,,USA
33,02501,biographies,2025-08-17,,Canada
34,09443,cooking shows,2024-07-13,,USA
35,00769,new releases,2025-07-24,,Canada
36,04884,comedy shows,2025-08-28,,Canada
37,09777,classic movies,2025-12-29,,Canada
38,06921,movies based on true stories,2024-03-05,,USA
39,08354,halloween movies,2024-04-15,,USA
40,01502,travel documentaries,2025-02-07,,USA
41,00440,thriller series,2025-05-06,,USA
42,08198,horror movies,2024-05-27,,USA
43,02701,best movies 2024,2024-09-09,,Canada
44,09465,music documentaries,2024-08-11,,USA
45,05142,netflix originals,2025-12-30,,USA
46,03457,thriller series,2024-11-09,,USA
47,08629,true crime,2024-10-05,,USA
48,02147,comedy shows,2024-02-06,,USA
49,02139,netflix originals,2025-02-06,,USA
50,07633,movies based on true stories,2024-08-27,,Canada
51,01306,animated shows,2025-05-11,,USA
52,03213,sci-fi,2025-02-12,,Canada
53,04648,christmas movies,2024-05-05,,USA
54,05962,horror movies,2025-06-09,,USA
55,07344,drama series,2024-04-27,,USA
56,00988,netflix originals,2024-03-25,,Canada
57,02365,music documentaries,2024-05-12,,Canada
58,01701,stand up comedy,2024-12-31,,Canada
59,06416,netflix originals,2024-05-20,,Canada
60,04881,travel documentaries,2025-07-05,,Canada
61,08310,war movies,2024-01-07,,USA
62,02988,movies like stranger things,2024-08-14,,USA
63,07814,drama series,2024-02-20,,USA
64,02158,sci-fi,2024-08-29,,USA
65,02179,korean drama,2025-02-20,,USA
66,07315,horror movies,2025-05-13,,USA
67,02568,thriller series,2024-09-23,,Canada
68,08071,superhero movies,2024-04-17,,USA
69,02158,movies based on true stories,2025-04-08,,Canada
70,05460,sci-fi,2025-05-30,,Canada
71,02584,superhero movies,2025-08-29,,Canada
72,04841,sci-fi,2025-07-19,,USA
73,07270,cooking shows,2025-08-20,,USA
74,04019,new releases,2024-05-07,,USA
75,07551,action movies,2024-04-20,,USA
76,04992,horror movies,2024-06-10,,USA
77,01377,korean drama,2024-04-11,,USA
78,02396,movies like stranger things,2024-12-07,,USA
79,06678,animated shows,2024-10-01,,USA
80,00099,drama series,2025-04-26,,USA
81,00775,halloween movies,2024-05-30,,Canada
82,09717,short episodes under 30 minutes,2025-12-28,,USA
83,05231,halloween movies,2024-04-09,,USA
84,04470,action movies,2024-08-28,,Canada
85,03666,halloween movies,2025-09-25,,USA
86,05952,comedy shows,2024-05-21,,USA
87,07015,new releases,2025-04-06,,USA
88,09069,christmas movies,2025-06-15,,Canada
89,08345,stand up comedy,2024-10-13,,USA
90,06935,family movies,2024-10-16,,Canada
91,02106,animated shows,2024-09-13,,Canada
92,07720,drama series,2024-04-29,,Canada
93,09994,documentaries,2024-01-19,,USA
94,01962,horror movies,2024-07-15,,USA
95,00039,thriller series,2024-12-30,,USA
96,06616,sci-fi,2025-05-10,,USA
97,07475,true crime,2024-09-30,,USA
98,07252,biographies,2024-10-07,,Canada
99,04202,family movies,2024-06-10,,Canada
100,07105,trending now,2024-09-10,,USA
101,01032,trending now,2025-09-29,,USA
102,07527,korean drama,2025-05-29,,USA
103,00459,new releases,2024-12-16,,USA
104,01088,family movies,2025-04-28,,USA
105,07312,biographies,2024-01-25,,USA
106,09887,christmas movies,2024-01-24,,Canada
107,06771,biographies,2025-08-20,,USA
108,09510,classic movies,2024-11-19,,USA
109,05752,true crime,2025-02-25,,USA
110,01529,comedy shows,2024-10-22,,Canada
111,06556,series with only one season,2025-05-26,,USA
112,04470,classic movies,2024-02-28,,USA
113,01769,korean drama,2024-02-14,,Canada
114,09298,drama series,2024-11-12,,USA
115,00593,war movies,2024-05-22,,USA
116,09611,romantic comedies,2025-10-20,,Canada
117,00754,sci-fi,2025-08-01,,Canada
118,03644,classic movies,2025-01-10,,USA
119,07631,thriller series,2025-12-05,,Canada
120,06292,war movies,2025-02-22,,USA
121,01279,romantic comedies,2025-11-21,,USA
122,06171,drama series,2025-10-17,,Canada
123,08206,action movies,2024-03-14,,Canada
124,09858,drama series,2024-09-15,,USA
125,06567,comedy shows,2024-02-09,,USA
126,04151,classic movies,2024-09-25,,USA
127,08667,series with only one season,2024-12-01,,USA
128,04001,cooking shows,2025-09-04,,Canada
129,09843,animated shows,2025-01-11,,USA
130,04379,war movies,2024-04-19,,USA
131,00432,thriller series,2025-10-12,,USA
132,09872,documentaries,2025-09-26,,USA
133,08475,documentaries,2024-09-04,,USA
134,08396,horror movies,2024-06-01,,USA
135,02611,sci-fi,2024-07-01,,USA
136,08984,halloween movies,2024-07-14,,USA
137,01102,animated shows,2025-09-17,,Canada
138,03457,shows with strong female leads,2024-11-27,,USA
139,08824,stand up comedy,2024-11-17,,USA
140,04369,korean drama,2025-10-05,,USA
141,03824,true crime,2024-08-09,,USA
142,06857,superhero movies,2025-01-11,,Canada
143,04485,travel documentaries,2025-06-13,,Canada
144,05058,new releases,2025-06-24,,Canada
145,07835,comedy shows,2024-10-06,,USA
146,04897,sci-fi,2025-08-24,,Canada
147,09454,travel documentaries,2025-02-27,,USA
148,05310,thriller series,2025-10-27,,USA
149,02889,war movies,2024-11-10,,Canada
150,05166,war movies,2025-05-27,,Canada
151,06640,halloween movies,2025-03-05,,USA
152,06325,drama series,2024-12-31,,Canada
153,09822,sci-fi,2024-04-23,,Canada
154,06434,biographies,2025-11-09,,USA
155,01036,trending now,2024-01-25,,Canada
156,08270,movies based on true stories,2024-06-27,,USA
157,02481,new releases,2024-10-16,,USA
158,01172,music documentaries,2025-12-13,,USA
159,02947,classic movies,2025-04-25,,Canada
160,02642,romantic comedies,2024-01-16,,USA
161,07021,romantic comedies,2024-08-17,,USA
162,01950,trending now,2024-02-08,,USA
163,09605,comedy shows,2024-12-12,,USA
164,01574,netflix originals,2025-03-15,,USA
165,07844,stand up comedy,2024-04-19,,USA
166,04716,best movies 2024,2024-02-01,,Canada
167,05757,cooking shows,2024-08-27,,USA
168,02174,short episodes under 30 minutes,2025-10-24,,Canada
169,00214,travel documentaries,2025-06-15,,USA
170,09533,new releases,2024-08-22,,Canada
171,05235,music documentaries,2024-07-01,,USA
172,07205,new releases,2025-04-07,,USA
173,04666,drama series,2024-07-23,,Canada
174,08710,war movies,2025-07-14,,USA
175,07360,christmas movies,2025-09-02,,USA
176,04955,true crime,2024-10-10,,USA
177,02412,netflix originals,2024-11-20,,Canada
178,01626,animated shows,2025-02-08,,USA
179,03530,travel documentaries,2024-07-24,,USA
180,08527,comedy shows,2025-06-07,,USA
181,09620,animated shows,2024-03-05,,USA
182,04129,classic movies,2024-01-08,,USA
183,05150,christmas movies,2024-10-14,,Canada
184,03987,cooking shows,2024-01-23,,USA
185,02218,cooking shows,2024-04-07,,Canada
186,01843,cooking shows,2024-01-18,,Canada
187,09793,cooking shows,2025-07-17,,USA
188,00134,sci-fi,2025-03-14,,Canada
189,05982,drama series,2024-04-03,,USA
190,06908,stand up comedy,2025-07-12,,USA
191,07608,biographies,2024-09-30,,USA
192,07327,drama series,2025-05-29,,Canada
193,06321,documentaries,2025-07-18,,USA
194,09916,war movies,2025-08-07,,USA
195,05675,korean drama,2024-08-06,,USA
196,06983,short episodes under 30 minutes,2025-10-13,,USA
197,08869,series with only one season,2024-01-17,,USA
198,09861,documentaries,2024-09-28,,USA
199,07743,romantic comedies,2024-08-07,,USA
200,01674,drama series,2025-03-19,,USA
201,07810,halloween movies,2024-11-14,,USA
202,09822,war movies,2024-08-15,,USA
203,04068,korean drama,2024-12-28,,Canada
204,05872,classic movies,2024-08-05,,Canada
205,09204,horror movies,2024-02-06,,Canada
206,09780,comedy shows,2025-06-04,,USA
207,06450,stand up comedy,2025-05-06,,USA
208,04973,superhero movies,2024-03-24,,Canada
209,06211,family movies,2024-02-16,,USA
210,09484,best movies 2024,2024-02-11,,USA
211,09559,new releases,2024-03-02,,Canada
212,02567,christmas movies,2024-12-21,,Canada
213,02937,romantic comedies,2024-11-11,,USA
214,01892,stand up comedy,2025-12-25,,USA
215,02407,award winning documentaries,2025-04-14,,USA
216,06661,halloween movies,2025-12-07,,USA
217,00546,war movies,2024-09-20,,USA
218,03667,animated shows,2024-04-21,,USA
219,00234,korean drama,2025-06-05,,USA
220,03809,classic movies,2025-02-23,,Canada
221,08034,true crime,2025-05-26,,Canada
222,00891,romantic comedies,2024-07-30,,USA
223,05385,superhero movies,2025-01-18,,Canada
224,00130,cooking shows,2024-02-12,,Canada
